Name	Class
Abortion, Habitual	Urogenital Diseases and Pregnancy Complications
Acquired Immunodeficiency Syndrome	Immune System Diseases
Acute Kidney Injury	Urogenital Diseases and Pregnancy Complications
Acute Lung Injury	Respiratory Tract Diseases
Adenocarcinoma, Esophageal	Neoplasms
Adenocarcinoma, Lung	Neoplasms
Adenoviridae Infections	Virus Diseases
Adrenal Cortex Neoplasms	Neoplasms
Adrenocortical Carcinoma	Neoplasms
Alopecia	Skin and Connective Tissue Diseases
Alzheimer Disease	Nervous System Diseases
Amyotrophic Lateral Sclerosis	Nervous System Diseases
Aneurysm	Cardiovascular Diseases
Aortic Aneurysm	Cardiovascular Diseases
Aortic Aneurysm, Abdominal	Cardiovascular Diseases
Aortic Aneurysm, Thoracic	Cardiovascular Diseases
Aortic Valve Insufficiency	Cardiovascular Diseases
Aortic Valve Stenosis	Cardiovascular Diseases
Arbovirus Infections	Virus Diseases
Arteriosclerosis Obliterans	Cardiovascular Diseases
Arthritis, Rheumatoid	Immune System Diseases
Asthenozoospermia	Urogenital Diseases and Pregnancy Complications
Asthma	Immune System Diseases
Astrocytoma	Neoplasms
Atherosclerosis	Cardiovascular Diseases
Atrial Fibrillation	Cardiovascular Diseases
Autism Spectrum Disorder	Others
Autoimmune Diseases	Immune System Diseases
Azoospermia	Urogenital Diseases and Pregnancy Complications
Barrett Esophagus	Digestive System Diseases
Behcet Syndrome	Skin and Connective Tissue Diseases
Biliary Tract Neoplasms	Neoplasms
Brain Ischemia	Cardiovascular Diseases
Breast Neoplasms	Neoplasms
Bronchiolitis Obliterans	Respiratory Tract Diseases
Burkitt Lymphoma	Neoplasms
Burns	Others
Carcinoma, Adenoid Cystic	Neoplasms
Carcinoma, Basal Cell	Neoplasms
Carcinoma, Colon	Neoplasms
Carcinoma, Ductal	Neoplasms
Carcinoma, Ehrlich Tumor	Neoplasms
Carcinoma, Endometrioid	Neoplasms
Carcinoma, Hepatocellular	Neoplasms
Carcinoma, Merkel Cell	Neoplasms
Carcinoma, Nasopharyngeal	Neoplasms
Carcinoma, Neuroendocrine	Neoplasms
Carcinoma, Non-Small-Cell Lung	Neoplasms
Carcinoma, Ovarian	Neoplasms
Carcinoma, Pancreatic	Neoplasms
Carcinoma, Pancreatic Ductal	Neoplasms
Carcinoma, Renal Cell	Neoplasms
Carcinoma, Signet Ring Cell	Neoplasms
Carcinoma, Skin Appendage	Neoplasms
Carcinoma, Squamous Cell	Neoplasms
Carcinoma, Thyroid, Follicular	Neoplasms
Carcinoma, Thyroid, Medullary	Neoplasms
Carcinoma, Thyroid, Papillary	Neoplasms
Cardiomegaly	Cardiovascular Diseases
Cardiomyopathies	Cardiovascular Diseases
Cardiomyopathy, Alcoholic	Cardiovascular Diseases
Cardiomyopathy, Dilated	Cardiovascular Diseases
Cardiomyopathy, Hypertrophic	Cardiovascular Diseases
Cardiotoxicity	Cardiovascular Diseases
Cardiovascular Diseases	Cardiovascular Diseases
Cataract	Others
Cholangiocarcinoma	Neoplasms
Cholesteatoma	Others
Chondrosarcoma	Neoplasms
Chordoma	Neoplasms
Chorioamnionitis	Urogenital Diseases and Pregnancy Complications
Choriocarcinoma	Neoplasms
Colitis	Digestive System Diseases
Colitis, Ulcerative	Digestive System Diseases
Colonic Neoplasms	Neoplasms
Colorectal Adenocarcinoma	Neoplasms
Colorectal Neoplasms	Neoplasms
Constriction, Pathologic	Others
Coronary Artery Disease	Cardiovascular Diseases
Creutzfeldt-Jakob Syndrome	Nervous System Diseases
Crohn Disease	Digestive System Diseases
Cutaneous Melanoma	Neoplasms
Cystitis, Interstitial	Urogenital Diseases and Pregnancy Complications
Cytomegalovirus Retinitis	Virus Diseases
Demyelinating Diseases	Nervous System Diseases
Dermatitis, Atopic	Immune System Diseases
Diabetes Mellitus	Nutritional and Metabolic Diseases
Diabetes Mellitus, Type 1	Immune System Diseases
Diabetes Mellitus, Type 2	Nutritional and Metabolic Diseases
Diabetic Cardiomyopathies	Cardiovascular Diseases
Diabetic Nephropathies	Nutritional and Metabolic Diseases
Digestive System Neoplasms	Neoplasms
Down Syndrome	Nervous System Diseases
Eclampsia	Urogenital Diseases and Pregnancy Complications
Endocrine Gland Neoplasms	Neoplasms
Endometrial Neoplasms	Neoplasms
Endometriosis	Urogenital Diseases and Pregnancy Complications
Endotoxemia	Bacterial Infections and Mycoses
Eosinophilic Esophagitis	Immune System Diseases
Ependymoma	Neoplasms
Epilepsy, Temporal Lobe	Nervous System Diseases
Epstein-Barr Virus Infections	Virus Diseases
Esophageal Neoplasms	Neoplasms
Esophagitis	Digestive System Diseases
Fatty Liver	Digestive System Diseases
Fibromatosis, Aggressive	Neoplasms
Fibromyalgia	Nervous System Diseases
Follicular Atresia	Others
Gastrointestinal Neoplasms	Neoplasms
Gaucher Disease	Nervous System Diseases
Gerstmann-Straussler-Scheinker Disease	Nervous System Diseases
Glaucoma	Others
Glioblastoma	Neoplasms
Glioma	Neoplasms
Glomerulonephritis	Urogenital Diseases and Pregnancy Complications
Graft Rejection	Others
Graft vs Host Disease	Immune System Diseases
HIV Infections	Immune System Diseases
HIV-Associated Lipodystrophy Syndrome	Immune System Diseases
Head and Neck Neoplasms	Neoplasms
Heart Defects, Congenital	Cardiovascular Diseases
Heart Diseases	Cardiovascular Diseases
Heart Failure	Cardiovascular Diseases
Helicobacter pylori	Others
Helplessness, Learned	Others
Hemangioma, Cavernous, Central Nervous System	Cardiovascular Diseases
Hematologic Neoplasms	Neoplasms
Hepatitis B	Virus Diseases
Hepatitis B, Chronic	Virus Diseases
Hepatitis C	Virus Diseases
Hepatitis C, Chronic	Virus Diseases
