pri-miRNA	disease	regulation
hsa-mir-150	Acquired Immunodeficiency Syndrome	-1
hsa-mir-223	Acquired Immunodeficiency Syndrome	-1
hsa-mir-27b	Acquired Immunodeficiency Syndrome	-1
hsa-mir-29b	Acquired Immunodeficiency Syndrome	-1
hsa-mir-126	Inferior Wall Myocardial Infarction	-1
hsa-mir-499a	Inferior Wall Myocardial Infarction	-1
hsa-mir-24	Respiratory Distress Syndrome, Adult	-1
hsa-mir-10b	Carcinoma, Endometrioid	-1
hsa-mir-152	Carcinoma, Endometrioid	-1
hsa-mir-193b	Carcinoma, Endometrioid	-1
hsa-mir-204	Carcinoma, Endometrioid	-1
hsa-mir-410	Carcinoma, Endometrioid	-1
hsa-mir-99b	Carcinoma, Endometrioid	-1
hsa-mir-17	Adenocarcinoma, Esophageal	-1
hsa-mir-205	Adenocarcinoma, Esophageal	-1
hsa-mir-216b	Stomach Neoplasms	-1
hsa-mir-299	Stomach Neoplasms	-1
hsa-mir-302b	Stomach Neoplasms	-1
hsa-mir-375	Stomach Neoplasms	-1
hsa-mir-124	Adenocarcinoma, Lung	-1
hsa-mir-485	Adenocarcinoma, Lung	-1
hsa-mir-124	Carcinoma, Pancreatic Ductal	-1
hsa-mir-133a	Carcinoma, Pancreatic Ductal	-1
hsa-mir-15a	Carcinoma, Pancreatic Ductal	-1
hsa-mir-218	Carcinoma, Pancreatic Ductal	-1
hsa-mir-301a	Carcinoma, Pancreatic Ductal	-1
hsa-mir-337	Carcinoma, Pancreatic Ductal	-1
hsa-let-7e	Adenoviridae Infections	-1
hsa-mir-101	Adenoviridae Infections	-1
hsa-mir-101	Adenoviridae Infections	-1
hsa-mir-1180	Adenoviridae Infections	-1
hsa-mir-1184	Adenoviridae Infections	-1
hsa-mir-125b	Adenoviridae Infections	-1
hsa-mir-125b	Adenoviridae Infections	-1
hsa-mir-148a	Adenoviridae Infections	-1
hsa-mir-148b	Adenoviridae Infections	-1
hsa-mir-181b	Adenoviridae Infections	-1
hsa-mir-181b	Adenoviridae Infections	-1
hsa-mir-18b	Adenoviridae Infections	-1
hsa-mir-196b	Adenoviridae Infections	-1
hsa-mir-19b	Adenoviridae Infections	-1
hsa-mir-19b	Adenoviridae Infections	-1
hsa-mir-210	Adenoviridae Infections	-1
hsa-mir-219	Adenoviridae Infections	-1
hsa-mir-25	Adenoviridae Infections	-1
hsa-mir-26b	Adenoviridae Infections	-1
hsa-mir-27a	Adenoviridae Infections	-1
hsa-mir-27b	Adenoviridae Infections	-1
hsa-mir-30a	Adenoviridae Infections	-1
hsa-mir-30b	Adenoviridae Infections	-1
hsa-mir-30c	Adenoviridae Infections	-1
hsa-mir-30c	Adenoviridae Infections	-1
hsa-mir-338	Adenoviridae Infections	-1
hsa-mir-33a	Adenoviridae Infections	-1
hsa-mir-34a	Adenoviridae Infections	-1
hsa-mir-362	Adenoviridae Infections	-1
hsa-mir-374b	Adenoviridae Infections	-1
hsa-mir-421	Adenoviridae Infections	-1
hsa-mir-433	Adenoviridae Infections	-1
hsa-mir-452	Adenoviridae Infections	-1
hsa-mir-519a	Adenoviridae Infections	-1
hsa-mir-582	Adenoviridae Infections	-1
hsa-mir-619	Adenoviridae Infections	-1
hsa-mir-650	Adenoviridae Infections	-1
hsa-mir-655	Adenoviridae Infections	-1
hsa-mir-92a	Adenoviridae Infections	-1
hsa-mir-200b	Adrenal Cortex Neoplasms	-1
hsa-mir-203	Adrenal Cortex Neoplasms	-1
hsa-mir-214	Adrenal Cortex Neoplasms	-1
hsa-mir-195	Adrenal Cortex Neoplasms	-1
hsa-mir-483	Adrenal Cortex Neoplasms	-1
hsa-mir-21	Cardiomyopathy, Alcoholic	-1
hsa-mir-221	Cardiomyopathy, Alcoholic	-1
hsa-mir-3098	Cardiomyopathy, Alcoholic	-1
hsa-let-7e	Rhinitis, Allergic	-1
hsa-let-7e	Rhinitis, Allergic	-1
hsa-mir-126	Rhinitis, Allergic	-1
hsa-mir-155	Rhinitis, Allergic	-1
hsa-mir-18a	Rhinitis, Allergic	-1
hsa-mir-224	Rhinitis, Allergic	-1
hsa-mir-143	Rhinitis, Allergic, Perennial	-1
hsa-mir-187	Rhinitis, Allergic, Perennial	-1
hsa-mir-224	Rhinitis, Allergic, Perennial	-1
hsa-mir-498	Rhinitis, Allergic, Perennial	-1
hsa-mir-767	Rhinitis, Allergic, Perennial	-1
hsa-mir-874	Rhinitis, Allergic, Perennial	-1
hsa-mir-107	Alzheimer Disease	-1
hsa-mir-128	Alzheimer Disease	-1
hsa-mir-128	Alzheimer Disease	-1
hsa-mir-181c	Alzheimer Disease	-1
hsa-mir-29c	Alzheimer Disease	-1
hsa-mir-1	Aortic Aneurysm, Thoracic	-1
hsa-mir-1	Aortic Aneurysm, Thoracic	-1
hsa-mir-133a	Aortic Aneurysm, Thoracic	-1
hsa-mir-133a	Aortic Aneurysm, Thoracic	-1
hsa-mir-21	Aortic Aneurysm, Thoracic	-1
hsa-mir-29a	Aortic Aneurysm, Thoracic	-1
hsa-mir-195	Aortic Valve Insufficiency	-1
hsa-mir-26a	Aortic Valve Insufficiency	-1
hsa-mir-26a	Aortic Valve Insufficiency	-1
hsa-mir-30b	Aortic Valve Insufficiency	-1
hsa-mir-195	Aortic Valve Stenosis	-1
hsa-mir-26a	Aortic Valve Stenosis	-1
hsa-mir-26a	Aortic Valve Stenosis	-1
hsa-mir-30b	Aortic Valve Stenosis	-1
hsa-mir-142	Arteriosclerosis Obliterans	-1
hsa-mir-122	Asthenozoospermia	-1
hsa-mir-146b	Asthenozoospermia	-1
hsa-mir-181a	Asthenozoospermia	-1
hsa-mir-34c	Asthenozoospermia	-1
hsa-mir-374b	Asthenozoospermia	-1
hsa-mir-509	Asthenozoospermia	-1
hsa-mir-509	Asthenozoospermia	-1
hsa-mir-509	Asthenozoospermia	-1
hsa-mir-513a	Asthenozoospermia	-1
hsa-mir-513a	Asthenozoospermia	-1
hsa-let-7a	Asthma	-1
hsa-let-7e	Asthma	-1
hsa-mir-125b	Asthma	-1
hsa-mir-126	Asthma	-1
hsa-mir-146a	Asthma	-1
hsa-mir-146b	Asthma	-1
hsa-mir-155	Asthma	-1
hsa-mir-155	Asthma	-1
hsa-mir-18a	Asthma	-1
hsa-mir-192	Asthma	-1
hsa-mir-22	Asthma	-1
hsa-mir-224	Asthma	-1
hsa-mir-28	Asthma	-1
hsa-mir-106a	Astrocytoma	-1
hsa-mir-107	Astrocytoma	-1
hsa-mir-124	Astrocytoma	-1
hsa-mir-124	Astrocytoma	-1
hsa-mir-124	Astrocytoma	-1
hsa-mir-124	Astrocytoma	-1
hsa-mir-128	Astrocytoma	-1
hsa-mir-133a	Astrocytoma	-1
hsa-mir-133a	Astrocytoma	-1
hsa-mir-137	Astrocytoma	-1
hsa-mir-138	Astrocytoma	-1
hsa-mir-138	Astrocytoma	-1
hsa-mir-149	Astrocytoma	-1
hsa-mir-150	Astrocytoma	-1
hsa-mir-15b	Astrocytoma	-1
hsa-mir-181b	Astrocytoma	-1
hsa-mir-181b	Astrocytoma	-1
hsa-mir-181b	Astrocytoma	-1
hsa-mir-181b	Astrocytoma	-1
hsa-mir-197	Astrocytoma	-1
hsa-mir-206	Astrocytoma	-1
hsa-mir-218	Astrocytoma	-1
hsa-mir-219	Astrocytoma	-1
hsa-mir-221	Astrocytoma	-1
hsa-mir-23a	Astrocytoma	-1
hsa-mir-497	Astrocytoma	-1
hsa-mir-548b	Astrocytoma	-1
hsa-mir-126	Atherosclerosis	-1
hsa-mir-126	Atherosclerosis	-1
hsa-mir-126	Atherosclerosis	-1
hsa-mir-125b	Dermatitis, Atopic	-1
hsa-mir-125b	Dermatitis, Atopic	-1
hsa-mir-193a	Atrial Fibrillation	-1
hsa-mir-484	Autism Spectrum Disorder	-1
hsa-mir-16	Autoimmune Diseases	-1
hsa-mir-16	Autoimmune Diseases	-1
hsa-mir-181a	Autoimmune Diseases	-1
hsa-mir-30a	Autoimmune Diseases	-1
hsa-mir-141	Barrett Esophagus	-1
hsa-mir-200a	Barrett Esophagus	-1
hsa-mir-200b	Barrett Esophagus	-1
