From	To	Distance	Type
Abortion, Habitual	Acquired Immunodeficiency Syndrome	3	inter
Abortion, Habitual	Acute Kidney Injury	3	intra
Abortion, Habitual	Acute Lung Injury	3	inter
Abortion, Habitual	Adenocarcinoma, Esophageal	3	inter
Abortion, Habitual	Adenocarcinoma, Lung	3	inter
Abortion, Habitual	Adenoviridae Infections	4	inter
Abortion, Habitual	Adrenal Cortex Neoplasms	2	inter
Abortion, Habitual	Adrenocortical Carcinoma	3	inter
Abortion, Habitual	Alopecia	4	inter
Abortion, Habitual	Alzheimer Disease	3	inter
Abortion, Habitual	Amyotrophic Lateral Sclerosis	4	inter
Abortion, Habitual	Aneurysm	4	inter
Abortion, Habitual	Aortic Aneurysm	4	inter
Abortion, Habitual	Aortic Aneurysm, Abdominal	4	inter
Abortion, Habitual	Aortic Aneurysm, Thoracic	3	inter
Abortion, Habitual	Aortic Valve Insufficiency	4	inter
Abortion, Habitual	Aortic Valve Stenosis	4	inter
Abortion, Habitual	Arbovirus Infections	4	inter
Abortion, Habitual	Arteriosclerosis Obliterans	3	inter
Abortion, Habitual	Arthritis, Rheumatoid	3	inter
Abortion, Habitual	Asthenozoospermia	4	intra
Abortion, Habitual	Asthma	3	inter
Abortion, Habitual	Astrocytoma	3	inter
Abortion, Habitual	Atherosclerosis	3	inter
Abortion, Habitual	Atrial Fibrillation	3	inter
Abortion, Habitual	Autism Spectrum Disorder	3	inter
Abortion, Habitual	Autoimmune Diseases	3	inter
Abortion, Habitual	Azoospermia	3	intra
Abortion, Habitual	Barrett Esophagus	3	inter
Abortion, Habitual	Behcet Syndrome	5	inter
Abortion, Habitual	Biliary Tract Neoplasms	3	inter
Abortion, Habitual	Brain Ischemia	3	inter
Abortion, Habitual	Breast Neoplasms	4	inter
Abortion, Habitual	Bronchiolitis Obliterans	3	inter
Abortion, Habitual	Burkitt Lymphoma	2	inter
Abortion, Habitual	Burns	4	inter
Abortion, Habitual	Carcinoma, Adenoid Cystic	4	inter
Abortion, Habitual	Carcinoma, Basal Cell	4	inter
Abortion, Habitual	Carcinoma, Colon	3	inter
Abortion, Habitual	Carcinoma, Ductal	3	inter
Abortion, Habitual	Carcinoma, Ehrlich Tumor	3	inter
Abortion, Habitual	Carcinoma, Endometrioid	4	inter
Abortion, Habitual	Carcinoma, Hepatocellular	4	inter
Abortion, Habitual	Carcinoma, Merkel Cell	4	inter
Abortion, Habitual	Carcinoma, Nasopharyngeal	1	inter
Abortion, Habitual	Carcinoma, Neuroendocrine	3	inter
Abortion, Habitual	Carcinoma, Non-Small-Cell Lung	3	inter
Abortion, Habitual	Carcinoma, Ovarian	3	inter
Abortion, Habitual	Carcinoma, Pancreatic	3	inter
Abortion, Habitual	Carcinoma, Pancreatic Ductal	3	inter
Abortion, Habitual	Carcinoma, Renal Cell	3	inter
Abortion, Habitual	Carcinoma, Signet Ring Cell	4	inter
Abortion, Habitual	Carcinoma, Skin Appendage	3	inter
Abortion, Habitual	Carcinoma, Squamous Cell	3	inter
Abortion, Habitual	Carcinoma, Thyroid, Follicular	3	inter
Abortion, Habitual	Carcinoma, Thyroid, Medullary	3	inter
Abortion, Habitual	Carcinoma, Thyroid, Papillary	3	inter
Abortion, Habitual	Cardiomegaly	3	inter
Abortion, Habitual	Cardiomyopathy, Alcoholic	4	inter
Abortion, Habitual	Cardiomyopathy, Dilated	3	inter
Abortion, Habitual	Cardiomyopathy, Hypertrophic	2	inter
Abortion, Habitual	Cardiotoxicity	3	inter
Abortion, Habitual	Cardiovascular Diseases	3	inter
Abortion, Habitual	Cataract	4	inter
Abortion, Habitual	Cholangiocarcinoma	2	inter
Abortion, Habitual	Cholesteatoma	4	inter
Abortion, Habitual	Chondrosarcoma	4	inter
Abortion, Habitual	Chordoma	4	inter
Abortion, Habitual	Chorioamnionitis	4	intra
Abortion, Habitual	Choriocarcinoma	3	inter
Abortion, Habitual	Colitis	4	inter
Abortion, Habitual	Colitis, Ulcerative	3	inter
Abortion, Habitual	Colonic Neoplasms	2	inter
Abortion, Habitual	Colorectal Adenocarcinoma	3	inter
Abortion, Habitual	Colorectal Neoplasms	3	inter
Abortion, Habitual	Constriction, Pathologic	4	inter
Abortion, Habitual	Coronary Artery Disease	2	inter
Abortion, Habitual	Creutzfeldt-Jakob Syndrome	4	inter
Abortion, Habitual	Crohn Disease	4	inter
Abortion, Habitual	Cutaneous Melanoma	4	inter
Abortion, Habitual	Cystitis, Interstitial	4	intra
Abortion, Habitual	Cytomegalovirus Retinitis	4	inter
Abortion, Habitual	Demyelinating Diseases	3	inter
Abortion, Habitual	Dermatitis, Atopic	3	inter
Abortion, Habitual	Diabetes Mellitus	3	inter
Abortion, Habitual	Diabetes Mellitus, Type 1	3	inter
Abortion, Habitual	Diabetes Mellitus, Type 2	2	inter
Abortion, Habitual	Diabetic Cardiomyopathies	3	inter
Abortion, Habitual	Diabetic Nephropathies	3	inter
Abortion, Habitual	Digestive System Neoplasms	3	inter
Abortion, Habitual	Down Syndrome	3	inter
Abortion, Habitual	Eclampsia	3	intra
Abortion, Habitual	Endocrine Gland Neoplasms	3	inter
Abortion, Habitual	Endometrial Neoplasms	3	inter
Abortion, Habitual	Endometriosis	4	intra
Abortion, Habitual	Endotoxemia	3	inter
Abortion, Habitual	Eosinophilic Esophagitis	3	inter
Abortion, Habitual	Ependymoma	2	inter
Abortion, Habitual	Epilepsy, Temporal Lobe	4	inter
Abortion, Habitual	Epstein-Barr Virus Infections	4	inter
Abortion, Habitual	Esophageal Neoplasms	3	inter
Abortion, Habitual	Esophagitis	3	inter
Abortion, Habitual	Fatty Liver	4	inter
Abortion, Habitual	Fibromatosis, Aggressive	3	inter
Abortion, Habitual	Fibromyalgia	3	inter
Abortion, Habitual	Follicular Atresia	4	inter
Abortion, Habitual	Gastrointestinal Neoplasms	3	inter
Abortion, Habitual	Gaucher Disease	3	inter
