Disease1	Disease2	Similarity	Similarity_abs	Direction
Adenocarcinoma, Lung	Adrenal Cortex Neoplasms	0.07150903869078913	0.07150903869078913	+
Acute Lung Injury	Alzheimer Disease	0.059254042385542036	0.059254042385542036	+
Alopecia	Amyotrophic Lateral Sclerosis	0.09813195891475437	0.09813195891475437	+
Aneurysm	Aortic Aneurysm	-0.089742937681327	0.089742937681327	-
Acquired Immunodeficiency Syndrome	Aortic Aneurysm, Abdominal	-0.12588423678228994	0.12588423678228994	-
Alzheimer Disease	Aortic Valve Insufficiency	-0.11214909811481281	0.11214909811481281	-
Alzheimer Disease	Aortic Valve Stenosis	-0.11214909811481281	0.11214909811481281	-
Aortic Valve Insufficiency	Aortic Valve Stenosis	1.0	1.0	+
Acquired Immunodeficiency Syndrome	Arthritis, Rheumatoid	-0.06898153011143149	0.06898153011143149	-
Acute Lung Injury	Arthritis, Rheumatoid	0.05240686422945199	0.05240686422945199	+
Aortic Aneurysm, Abdominal	Arthritis, Rheumatoid	0.22723675413977518	0.22723675413977518	+
Adenocarcinoma, Lung	Asthma	-0.051691883830563785	0.051691883830563785	-
Arthritis, Rheumatoid	Asthma	-0.07840181394031216	0.07840181394031216	-
Alzheimer Disease	Astrocytoma	0.05401201236757562	0.05401201236757562	+
Adenocarcinoma, Esophageal	Atherosclerosis	0.1143877901757295	0.1143877901757295	+
Amyotrophic Lateral Sclerosis	Atherosclerosis	0.08267690778976937	0.08267690778976937	+
Arteriosclerosis Obliterans	Atherosclerosis	-0.07463870103236718	0.07463870103236718	-
Arthritis, Rheumatoid	Atherosclerosis	0.1899779154006731	0.1899779154006731	+
Asthma	Atherosclerosis	-0.12184702361020296	0.12184702361020296	-
Amyotrophic Lateral Sclerosis	Atrial Fibrillation	0.06283518071601715	0.06283518071601715	+
Arthritis, Rheumatoid	Atrial Fibrillation	0.11645738013025606	0.11645738013025606	+
Atherosclerosis	Atrial Fibrillation	0.13973941475354626	0.13973941475354626	+
Adrenal Cortex Neoplasms	Autism Spectrum Disorder	-0.1334575724649057	0.1334575724649057	-
Acute Lung Injury	Autoimmune Diseases	-0.256804185254881	0.256804185254881	-
Adrenocortical Carcinoma	Azoospermia	0.08436245114764052	0.08436245114764052	+
Adrenal Cortex Neoplasms	Barrett Esophagus	0.08542809568582063	0.08542809568582063	+
Azoospermia	Barrett Esophagus	-0.06283367592497137	0.06283367592497137	-
Adenocarcinoma, Lung	Brain Ischemia	0.07313790253828088	0.07313790253828088	+
Adrenal Cortex Neoplasms	Brain Ischemia	0.13075577824042242	0.13075577824042242	+
Acute Lung Injury	Bronchiolitis Obliterans	-0.2724351643335022	0.2724351643335022	-
Autoimmune Diseases	Bronchiolitis Obliterans	0.3207763347788904	0.3207763347788904	+
Adenocarcinoma, Esophageal	Burns	-0.07169721109178959	0.07169721109178959	-
Barrett Esophagus	Burns	0.0776432711268083	0.0776432711268083	+
Aortic Valve Insufficiency	Carcinoma, Colon	0.12087655606451894	0.12087655606451894	+
Aortic Valve Stenosis	Carcinoma, Colon	0.12087655606451894	0.12087655606451894	+
Arteriosclerosis Obliterans	Carcinoma, Colon	0.07129733157241441	0.07129733157241441	+
Acute Kidney Injury	Carcinoma, Ductal	0.08633733325527047	0.08633733325527047	+
Acute Lung Injury	Carcinoma, Ductal	0.07859497876701001	0.07859497876701001	+
Adenocarcinoma, Lung	Carcinoma, Ehrlich Tumor	0.10325151134609416	0.10325151134609416	+
Azoospermia	Carcinoma, Ehrlich Tumor	0.11857349796132034	0.11857349796132034	+
Barrett Esophagus	Carcinoma, Ehrlich Tumor	-0.13041918582417178	0.13041918582417178	-
Adenocarcinoma, Esophageal	Carcinoma, Endometrioid	0.12764460372049416	0.12764460372049416	+
Adenocarcinoma, Lung	Carcinoma, Endometrioid	0.05511206254795859	0.05511206254795859	+
Adrenocortical Carcinoma	Carcinoma, Endometrioid	0.06817396123140981	0.06817396123140981	+
Barrett Esophagus	Carcinoma, Endometrioid	-0.08614774533051707	0.08614774533051707	-
Carcinoma, Ehrlich Tumor	Carcinoma, Endometrioid	0.13357722843554992	0.13357722843554992	+
Abortion, Habitual	Carcinoma, Nasopharyngeal	0.0912727804300344	0.0912727804300344	+
Burkitt Lymphoma	Carcinoma, Nasopharyngeal	0.05591634612438295	0.05591634612438295	+
Acute Kidney Injury	Carcinoma, Neuroendocrine	0.07665376467489725	0.07665376467489725	+
Acute Lung Injury	Carcinoma, Neuroendocrine	0.0704887656097347	0.0704887656097347	+
Arthritis, Rheumatoid	Carcinoma, Neuroendocrine	0.07306065289173035	0.07306065289173035	+
Atherosclerosis	Carcinoma, Neuroendocrine	0.12085973593462897	0.12085973593462897	+
Carcinoma, Ductal	Carcinoma, Neuroendocrine	0.4059761767809975	0.4059761767809975	+
Adrenocortical Carcinoma	Carcinoma, Non-Small-Cell Lung	-0.08149014219613841	0.08149014219613841	-
Breast Neoplasms	Carcinoma, Non-Small-Cell Lung	0.06482039035588565	0.06482039035588565	+
Adenocarcinoma, Esophageal	Carcinoma, Ovarian	0.0745796337052252	0.0745796337052252	+
Aortic Aneurysm	Carcinoma, Ovarian	0.06183595450213891	0.06183595450213891	+
Aortic Aneurysm, Thoracic	Carcinoma, Ovarian	0.057580255829984245	0.057580255829984245	+
Acquired Immunodeficiency Syndrome	Carcinoma, Pancreatic	-0.08653506996160515	0.08653506996160515	-
Acute Lung Injury	Carcinoma, Pancreatic	-0.10131278290235424	0.10131278290235424	-
Aortic Aneurysm, Abdominal	Carcinoma, Pancreatic	0.07338528456104575	0.07338528456104575	+
Astrocytoma	Carcinoma, Pancreatic	-0.055430952876448565	0.055430952876448565	-
Autoimmune Diseases	Carcinoma, Pancreatic	0.12813967453690062	0.12813967453690062	+
Bronchiolitis Obliterans	Carcinoma, Pancreatic	0.09640324726279069	0.09640324726279069	+
Aortic Aneurysm, Thoracic	Carcinoma, Pancreatic Ductal	0.06548297215360668	0.06548297215360668	+
Astrocytoma	Carcinoma, Pancreatic Ductal	0.09132544055625645	0.09132544055625645	+
Adrenal Cortex Neoplasms	Carcinoma, Renal Cell	0.0681742827888782	0.0681742827888782	+
Carcinoma, Non-Small-Cell Lung	Carcinoma, Renal Cell	0.0802336169793747	0.0802336169793747	+
Acute Kidney Injury	Carcinoma, Skin Appendage	0.08633733325527047	0.08633733325527047	+
Acute Lung Injury	Carcinoma, Skin Appendage	0.07859497876701001	0.07859497876701001	+
Carcinoma, Ductal	Carcinoma, Skin Appendage	1.0	1.0	+
Carcinoma, Neuroendocrine	Carcinoma, Skin Appendage	0.4059761767809975	0.4059761767809975	+
Astrocytoma	Carcinoma, Squamous Cell	0.05642376403464976	0.05642376403464976	+
Atherosclerosis	Carcinoma, Squamous Cell	-0.05963890024372121	0.05963890024372121	-
Barrett Esophagus	Carcinoma, Squamous Cell	0.11793336898922811	0.11793336898922811	+
