Nodes	Category	Degree	Positive_Edge	Negative_Edge	Cluster_Coefficient
Abortion, Habitual	Urogenital Diseases and Pregnancy Complications	3	1	2	1.0
Acquired Immunodeficiency Syndrome	Immune System Diseases	28	13	15	0.3201058201058201
Acute Kidney Injury	Urogenital Diseases and Pregnancy Complications	12	11	1	0.696969696969697
Acute Lung Injury	Respiratory Tract Diseases	22	14	8	0.4069264069264069
Adenocarcinoma, Esophageal	Neoplasms	34	29	5	0.20320855614973263
Adenocarcinoma, Lung	Neoplasms	24	14	10	0.22826086956521738
Adenoviridae Infections	Virus Diseases	1	1	0	0.0
Adrenal Cortex Neoplasms	Neoplasms	21	13	8	0.13333333333333333
Adrenocortical Carcinoma	Neoplasms	22	11	11	0.2987012987012987
Alopecia	Skin and Connective Tissue Diseases	20	9	11	0.3631578947368421
Alzheimer Disease	Nervous System Diseases	23	6	17	0.18972332015810275
Amyotrophic Lateral Sclerosis	Nervous System Diseases	20	11	9	0.5526315789473685
Aneurysm	Cardiovascular Diseases	7	4	3	1.0
Aortic Aneurysm	Cardiovascular Diseases	10	3	7	0.7333333333333333
Aortic Aneurysm, Abdominal	Cardiovascular Diseases	28	18	10	0.35714285714285715
Aortic Aneurysm, Thoracic	Cardiovascular Diseases	25	16	9	0.4166666666666667
Aortic Valve Insufficiency	Cardiovascular Diseases	18	13	5	0.5098039215686274
Aortic Valve Stenosis	Cardiovascular Diseases	18	13	5	0.5098039215686274
Arbovirus Infections	Virus Diseases	4	3	1	1.0
Arteriosclerosis Obliterans	Cardiovascular Diseases	6	3	3	0.6666666666666666
Arthritis, Rheumatoid	Immune System Diseases	53	42	11	0.25471698113207547
Asthenozoospermia	Urogenital Diseases and Pregnancy Complications	3	1	2	0.3333333333333333
Asthma	Immune System Diseases	15	6	9	0.2571428571428571
Astrocytoma	Neoplasms	18	12	6	0.28104575163398693
Atherosclerosis	Cardiovascular Diseases	60	47	13	0.2016949152542373
Atrial Fibrillation	Cardiovascular Diseases	25	20	5	0.19333333333333333
Autism Spectrum Disorder	Others	1	0	1	0.0
Autoimmune Diseases	Immune System Diseases	18	11	7	0.35947712418300654
Azoospermia	Urogenital Diseases and Pregnancy Complications	21	11	10	0.3523809523809524
Barrett Esophagus	Digestive System Diseases	30	16	14	0.23218390804597702
Behcet Syndrome	Skin and Connective Tissue Diseases	3	3	0	1.0
Biliary Tract Neoplasms	Neoplasms	13	3	10	0.34615384615384615
Brain Ischemia	Cardiovascular Diseases	6	6	0	0.6666666666666666
Breast Neoplasms	Neoplasms	18	18	0	0.43137254901960786
Bronchiolitis Obliterans	Respiratory Tract Diseases	9	5	4	0.9444444444444444
Burkitt Lymphoma	Neoplasms	3	3	0	0.0
Burns	Others	4	1	3	0.8333333333333334
Carcinoma, Adenoid Cystic	Neoplasms	7	5	2	0.2857142857142857
Carcinoma, Basal Cell	Neoplasms	3	3	0	1.0
Carcinoma, Colon	Neoplasms	18	15	3	0.3137254901960784
Carcinoma, Ductal	Neoplasms	17	15	2	0.7426470588235294
Carcinoma, Ehrlich Tumor	Neoplasms	24	17	7	0.37681159420289856
Carcinoma, Endometrioid	Neoplasms	21	14	7	0.3142857142857143
Carcinoma, Hepatocellular	Neoplasms	4	4	0	0.5
Carcinoma, Merkel Cell	Neoplasms	7	4	3	0.8571428571428571
Carcinoma, Nasopharyngeal	Neoplasms	10	4	6	0.26666666666666666
Carcinoma, Neuroendocrine	Neoplasms	31	27	4	0.5161290322580645
Carcinoma, Non-Small-Cell Lung	Neoplasms	20	16	4	0.4263157894736842
