all	coherent	ratio
1373	1235	8.94927536232
1460	1295	7.84848484848
1564	1410	9.15584415584
1669	1504	9.11515151515
1630	1456	8.36781609195
1509	1371	9.9347826087
1373	1236	9.02189781022
1487	1353	10.0970149254
1550	1388	8.56790123457
1721	1521	7.605
1641	1475	8.88554216867
1706	1539	9.21556886228
1423	1284	9.23741007194
1523	1365	8.63924050633
1393	1251	8.80985915493
1630	1430	7.15
1757	1593	9.71341463415
1767	1590	8.98305084746
1579	1405	8.07471264368
1566	1417	9.51006711409
1312	1172	8.37142857143
1513	1374	9.88489208633
1602	1410	7.34375
1473	1336	9.75182481752
1559	1402	8.92993630573
1526	1388	10.0579710145
1404	1246	7.88607594937
1400	1238	7.64197530864
1528	1361	8.1497005988
1435	1290	8.89655172414
1382	1230	8.09210526316
1289	1147	8.07746478873
1473	1312	8.14906832298
1565	1394	8.15204678363
1674	1492	8.1978021978
1459	1314	9.06206896552
1581	1409	8.19186046512
1494	1349	9.30344827586
1454	1318	9.69117647059
1574	1415	8.89937106918
1595	1432	8.78527607362
1348	1211	8.83941605839
1550	1376	7.90804597701
1345	1175	6.91176470588
1470	1327	9.27972027972
1409	1271	9.21014492754
1519	1380	9.92805755396
1709	1514	7.7641025641
1540	1388	9.13157894737
1476	1326	8.84
1522	1387	10.2740740741
1542	1371	8.01754385965
1767	1599	9.51785714286
1403	1266	9.24087591241
1444	1306	9.46376811594
1569	1436	10.7969924812
1558	1413	9.74482758621
1629	1440	7.61904761905
1329	1181	7.97972972973
1517	1365	8.98026315789
1542	1402	10.0142857143
1450	1306	9.06944444444
1766	1556	7.40952380952
1344	1179	7.14545454545
1477	1310	7.84431137725
1526	1385	9.82269503546
1603	1448	9.34193548387
1501	1359	9.57042253521
1405	1275	9.80769230769
1402	1252	8.34666666667
1574	1412	8.71604938272
1311	1192	10.0168067227
1523	1361	8.4012345679
1647	1478	8.74556213018
1546	1405	9.96453900709
1654	1481	8.56069364162
1496	1353	9.46153846154
1582	1429	9.33986928105
1753	1559	8.03608247423
1368	1196	6.95348837209
1359	1196	7.33742331288
1320	1180	8.42857142857
1433	1306	10.2834645669
1433	1284	8.61744966443
1465	1311	8.51298701299
1555	1396	8.77987421384
1468	1285	7.0218579235
1449	1291	8.17088607595
1528	1343	7.25945945946
1387	1274	11.2743362832
1617	1456	9.04347826087
1611	1478	11.1127819549
1405	1249	8.00641025641
1552	1414	10.2463768116
1646	1473	8.51445086705
1580	1422	9.0
1516	1361	8.78064516129
1442	1284	8.12658227848
1563	1378	7.44864864865
1558	1404	9.11688311688
1430	1297	9.75187969925
1424	1283	9.09929078014
1498	1330	7.91666666667
1515	1362	8.90196078431
1411	1263	8.53378378378
1588	1428	8.925
1580	1446	10.7910447761
1534	1372	8.46913580247
1492	1338	8.68831168831
1526	1363	8.36196319018
1563	1412	9.35099337748
1577	1404	8.11560693642
1722	1554	9.25
1621	1435	7.71505376344
1615	1460	9.41935483871
1422	1285	9.3795620438
1720	1537	8.39890710383
1438	1289	8.65100671141
1344	1182	7.2962962963
1501	1344	8.56050955414
1377	1253	10.1048387097
1477	1333	9.25694444444
1650	1476	8.48275862069
1372	1232	8.8
1646	1487	9.35220125786
1576	1409	8.4371257485
1667	1496	8.7485380117
1486	1325	8.2298136646
1587	1415	8.22674418605
1616	1482	11.0597014925
1676	1514	9.34567901235
1668	1499	8.86982248521
1474	1326	8.95945945946
1576	1396	7.75555555556
1909	1689	7.67727272727
1430	1286	8.93055555556
1417	1279	9.26811594203
1571	1385	7.44623655914
1592	1418	8.14942528736
1480	1325	8.54838709677
1271	1127	7.82638888889
1484	1331	8.69934640523
1514	1362	8.96052631579
1572	1416	9.07692307692
1405	1260	8.68965517241
1670	1489	8.22651933702
1478	1319	8.29559748428
1445	1293	8.50657894737
1572	1410	8.7037037037
1548	1383	8.38181818182
1351	1215	8.93382352941
1430	1269	7.88198757764
1652	1503	10.0872483221
1399	1269	9.76153846154
1462	1306	8.37179487179
1489	1350	9.71223021583
1364	1221	8.53846153846
1583	1414	8.36686390533
1666	1504	9.28395061728
1655	1476	8.24581005587
1447	1322	10.576
1541	1365	7.75568181818
1533	1377	8.82692307692
1597	1426	8.33918128655
1619	1451	8.6369047619
1704	1531	8.84971098266
1717	1552	9.40606060606
1402	1278	10.3064516129
1569	1433	10.5367647059
1594	1431	8.77914110429
1411	1249	7.70987654321
1574	1417	9.02547770701
1444	1304	9.31428571429
1413	1272	9.02127659574
1768	1591	8.98870056497
1462	1348	11.8245614035
1641	1461	8.11666666667
1546	1403	9.81118881119
1600	1425	8.14285714286
1612	1429	7.8087431694
1486	1331	8.58709677419
1451	1281	7.53529411765
1527	1369	8.66455696203
1448	1312	9.64705882353
1519	1378	9.77304964539
1368	1211	7.71337579618
1543	1404	10.1007194245
1642	1445	7.33502538071
1531	1357	7.79885057471
1411	1250	7.76397515528
1270	1146	9.24193548387
1503	1326	7.49152542373
1333	1183	7.88666666667
1398	1265	9.51127819549
1586	1425	8.85093167702
1485	1359	10.7857142857
1458	1313	9.05517241379
1362	1222	8.72857142857
1482	1335	9.08163265306
1469	1307	8.06790123457
1634	1466	8.72619047619
1737	1563	8.98275862069
1399	1252	8.51700680272
1428	1291	9.42335766423
1466	1310	8.39743589744
1520	1375	9.48275862069
1368	1223	8.43448275862
1672	1507	9.13333333333
1609	1440	8.52071005917
1444	1294	8.62666666667
1805	1623	8.91758241758
1547	1388	8.72955974843
1446	1300	8.90410958904
1582	1432	9.54666666667
1721	1520	7.56218905473
1613	1452	9.01863354037
1656	1470	7.90322580645
1692	1513	8.45251396648
1541	1375	8.28313253012
1667	1493	8.58045977011
1438	1300	9.42028985507
1663	1474	7.79894179894
1447	1276	7.46198830409
1414	1271	8.88811188811
1579	1402	7.9209039548
1260	1105	7.12903225806
1516	1352	8.24390243902
1699	1534	9.29696969697
1496	1352	9.38888888889
1478	1335	9.33566433566
1551	1382	8.1775147929
1685	1515	8.91176470588
1470	1343	10.5748031496
1425	1260	7.63636363636
1631	1443	7.67553191489
1543	1387	8.89102564103
1579	1419	8.86875
1668	1497	8.75438596491
1562	1395	8.35329341317
1644	1465	8.1843575419
1535	1383	9.09868421053
1644	1492	9.81578947368
1600	1459	10.3475177305
1787	1612	9.21142857143
1508	1360	9.18918918919
1656	1494	9.22222222222
1520	1369	9.06622516556
1649	1469	8.16111111111
1712	1524	8.10638297872
1603	1410	7.30569948187
1569	1404	8.50909090909
1502	1328	7.63218390805
1477	1300	7.34463276836
1633	1458	8.33142857143
1759	1553	7.53883495146
1479	1329	8.86
1542	1374	8.17857142857
1647	1472	8.41142857143
